Web Search interest: vaccine
Denmark Jan 2011 - Feb 2016

Interest over time
Week,vaccine
2011-01-02 - 2011-01-08,17
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,18
2011-01-23 - 2011-01-29,18
2011-01-30 - 2011-02-05,17
2011-02-06 - 2011-02-12,22
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,15
2011-02-27 - 2011-03-05,17
2011-03-06 - 2011-03-12,17
2011-03-13 - 2011-03-19,16
2011-03-20 - 2011-03-26,20
2011-03-27 - 2011-04-02,21
2011-04-03 - 2011-04-09,21
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,25
2011-05-01 - 2011-05-07,21
2011-05-08 - 2011-05-14,23
2011-05-15 - 2011-05-21,22
2011-05-22 - 2011-05-28,18
2011-05-29 - 2011-06-04,14
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,18
2011-06-19 - 2011-06-25,20
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,14
2011-07-17 - 2011-07-23,17
2011-07-24 - 2011-07-30,13
2011-07-31 - 2011-08-06,16
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,22
2011-08-21 - 2011-08-27,18
2011-08-28 - 2011-09-03,22
2011-09-04 - 2011-09-10,17
2011-09-11 - 2011-09-17,16
2011-09-18 - 2011-09-24,16
2011-09-25 - 2011-10-01,19
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,22
2011-10-23 - 2011-10-29,25
2011-10-30 - 2011-11-05,26
2011-11-06 - 2011-11-12,23
2011-11-13 - 2011-11-19,18
2011-11-20 - 2011-11-26,18
2011-11-27 - 2011-12-03,17
2011-12-04 - 2011-12-10,15
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,15
2011-12-25 - 2011-12-31,17
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,24
2012-01-15 - 2012-01-21,23
2012-01-22 - 2012-01-28,24
2012-01-29 - 2012-02-04,19
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,19
2012-02-19 - 2012-02-25,23
2012-02-26 - 2012-03-03,19
2012-03-04 - 2012-03-10,22
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,17
2012-03-25 - 2012-03-31,17
2012-04-01 - 2012-04-07,15
2012-04-08 - 2012-04-14,21
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,20
2012-04-29 - 2012-05-05,19
2012-05-06 - 2012-05-12,20
2012-05-13 - 2012-05-19,15
2012-05-20 - 2012-05-26,23
2012-05-27 - 2012-06-02,18
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,17
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,27
2012-07-15 - 2012-07-21,21
2012-07-22 - 2012-07-28,17
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,75
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,62
2012-09-16 - 2012-09-22,50
2012-09-23 - 2012-09-29,40
2012-09-30 - 2012-10-06,39
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,41
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,35
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,31
2012-12-02 - 2012-12-08,26
2012-12-09 - 2012-12-15,32
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,100
2012-12-30 - 2013-01-05,85
2013-01-06 - 2013-01-12,59
2013-01-13 - 2013-01-19,57
2013-01-20 - 2013-01-26,51
2013-01-27 - 2013-02-02,36
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,30
2013-02-24 - 2013-03-02,29
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,28
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,31
2013-04-21 - 2013-04-27,31
2013-04-28 - 2013-05-04,30
2013-05-05 - 2013-05-11,27
2013-05-12 - 2013-05-18,32
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,38
2013-06-16 - 2013-06-22,43
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,24
2013-07-28 - 2013-08-03,68
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,35
2013-08-18 - 2013-08-24,27
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,33
2013-09-15 - 2013-09-21,31
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,31
2013-10-20 - 2013-10-26,33
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,25
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,21
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,26
2014-02-23 - 2014-03-01,20
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,19
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,20
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,18
2014-04-20 - 2014-04-26,17
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,20
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,19
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,26
2014-06-15 - 2014-06-21,24
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,19
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,24
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,19
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,30
2014-10-12 - 2014-10-18,31
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,29
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,21
2014-12-07 - 2014-12-13,21
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,31
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,30
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,34
2015-02-22 - 2015-02-28,58
2015-03-01 - 2015-03-07,38
2015-03-08 - 2015-03-14,34
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,66
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,22
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,40
2015-05-10 - 2015-05-16,25
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,25
2015-06-21 - 2015-06-27,27
2015-06-28 - 2015-07-04,30
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,25
2015-08-02 - 2015-08-08,20
2015-08-09 - 2015-08-15,20
2015-08-16 - 2015-08-22,20
2015-08-23 - 2015-08-29,21
2015-08-30 - 2015-09-05,30
2015-09-06 - 2015-09-12,25
2015-09-13 - 2015-09-19,30
2015-09-20 - 2015-09-26,45
2015-09-27 - 2015-10-03,36
2015-10-04 - 2015-10-10,42
2015-10-11 - 2015-10-17,39
2015-10-18 - 2015-10-24,34
2015-10-25 - 2015-10-31,28
2015-11-01 - 2015-11-07,33
2015-11-08 - 2015-11-14,30
2015-11-15 - 2015-11-21,26
2015-11-22 - 2015-11-28,23
2015-11-29 - 2015-12-05,26
2015-12-06 - 2015-12-12,24
2015-12-13 - 2015-12-19,26
2015-12-20 - 2015-12-26,20
2015-12-27 - 2016-01-02,19
2016-01-03 - 2016-01-09,26
2016-01-10 - 2016-01-16,27
2016-01-17 - 2016-01-23,31
2016-01-24 - 2016-01-30,28
2016-01-31 - 2016-02-06,27
2016-02-07 - 2016-02-13,28
2016-02-14 - 2016-02-20,24
2016-02-21 - 2016-02-27,27
2016-02-28 - 2016-03-05,0


Top subregions for vaccine
Subregion,vaccine
Capital Region of Denmark,100
Central Denmark Region,81
Region Zealand,78
Syddanmark,74
North Denmark Region,74


Top cities for vaccine
City,vaccine
Hasselager,100
Frederiksberg,91
Gentofte,90
Herlev,80
Søborg,78
Lyngby,77
Aarhus,76
Samsø,72
Hvidovre,69
Copenhagen,69
Esbjerg,67
Roskilde County,67
Ballerup,67
Naestved,66
Hillerod,66



Top searches for vaccine
hpv vaccine,100
hpv,100
livmoderhalskræft vaccine,30
livmoderhalskræft,25
hepatitis vaccine,25
