Web Search interest: indeholder
Denmark 2011-2015

Interest over time
Week,indeholder
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,62
2011-01-16 - 2011-01-22,69
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,52
2011-02-06 - 2011-02-12,50
2011-02-13 - 2011-02-19,49
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,51
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,70
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,57
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,56
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,66
2011-09-04 - 2011-09-10,49
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,67
2011-10-02 - 2011-10-08,73
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,43
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,62
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,81
2011-11-20 - 2011-11-26,67
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,78
2011-12-18 - 2011-12-24,56
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,86
2012-01-15 - 2012-01-21,74
