Week,børn
2011-01-02 - 2011-01-08,66
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,68
2011-01-23 - 2011-01-29,67
2011-01-30 - 2011-02-05,66
2011-02-06 - 2011-02-12,72
2011-02-13 - 2011-02-19,72
2011-02-20 - 2011-02-26,67
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,66
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,66
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,62
2011-05-01 - 2011-05-07,62
2011-05-08 - 2011-05-14,59
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,63
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,58
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,61
2011-06-26 - 2011-07-02,62
2011-07-03 - 2011-07-09,62
2011-07-10 - 2011-07-16,66
2011-07-17 - 2011-07-23,69
2011-07-24 - 2011-07-30,62
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,69
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,67
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,66
2011-09-18 - 2011-09-24,67
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,67
2011-10-09 - 2011-10-15,75
2011-10-16 - 2011-10-22,73
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,70
2011-11-06 - 2011-11-12,71
2011-11-13 - 2011-11-19,72
2011-11-20 - 2011-11-26,71
2011-11-27 - 2011-12-03,71
2011-12-04 - 2011-12-10,76
2011-12-11 - 2011-12-17,74
2011-12-18 - 2011-12-24,59
2011-12-25 - 2011-12-31,62
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,71
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,72
2012-01-29 - 2012-02-04,77
2012-02-05 - 2012-02-11,75
2012-02-12 - 2012-02-18,74
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,68
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,71
2012-03-25 - 2012-03-31,66
2012-04-01 - 2012-04-07,69
2012-04-08 - 2012-04-14,69
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,67
2012-05-06 - 2012-05-12,67
2012-05-13 - 2012-05-19,69
2012-05-20 - 2012-05-26,69
2012-05-27 - 2012-06-02,68
2012-06-03 - 2012-06-09,71
2012-06-10 - 2012-06-16,73
2012-06-17 - 2012-06-23,72
2012-06-24 - 2012-06-30,71
2012-07-01 - 2012-07-07,75
2012-07-08 - 2012-07-14,75
2012-07-15 - 2012-07-21,76
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,71
2012-08-05 - 2012-08-11,73
2012-08-12 - 2012-08-18,73
2012-08-19 - 2012-08-25,73
2012-08-26 - 2012-09-01,77
2012-09-02 - 2012-09-08,78
2012-09-09 - 2012-09-15,75
2012-09-16 - 2012-09-22,78
2012-09-23 - 2012-09-29,79
2012-09-30 - 2012-10-06,79
2012-10-07 - 2012-10-13,79
2012-10-14 - 2012-10-20,80
2012-10-21 - 2012-10-27,76
2012-10-28 - 2012-11-03,76
2012-11-04 - 2012-11-10,77
2012-11-11 - 2012-11-17,75
2012-11-18 - 2012-11-24,79
2012-11-25 - 2012-12-01,81
2012-12-02 - 2012-12-08,86
2012-12-09 - 2012-12-15,90
2012-12-16 - 2012-12-22,75
2012-12-23 - 2012-12-29,70
2012-12-30 - 2013-01-05,73
2013-01-06 - 2013-01-12,78
2013-01-13 - 2013-01-19,82
2013-01-20 - 2013-01-26,81
2013-01-27 - 2013-02-02,81
2013-02-03 - 2013-02-09,82
2013-02-10 - 2013-02-16,77
2013-02-17 - 2013-02-23,75
2013-02-24 - 2013-03-02,75
2013-03-03 - 2013-03-09,74
2013-03-10 - 2013-03-16,74
2013-03-17 - 2013-03-23,74
2013-03-24 - 2013-03-30,81
2013-03-31 - 2013-04-06,74
2013-04-07 - 2013-04-13,75
2013-04-14 - 2013-04-20,78
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,71
2013-05-05 - 2013-05-11,75
2013-05-12 - 2013-05-18,73
2013-05-19 - 2013-05-25,73
2013-05-26 - 2013-06-01,70
2013-06-02 - 2013-06-08,71
2013-06-09 - 2013-06-15,71
2013-06-16 - 2013-06-22,72
2013-06-23 - 2013-06-29,74
2013-06-30 - 2013-07-06,77
2013-07-07 - 2013-07-13,71
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,68
2013-07-28 - 2013-08-03,71
2013-08-04 - 2013-08-10,76
2013-08-11 - 2013-08-17,78
2013-08-18 - 2013-08-24,78
2013-08-25 - 2013-08-31,77
2013-09-01 - 2013-09-07,77
2013-09-08 - 2013-09-14,78
2013-09-15 - 2013-09-21,83
2013-09-22 - 2013-09-28,81
2013-09-29 - 2013-10-05,82
2013-10-06 - 2013-10-12,82
2013-10-13 - 2013-10-19,87
2013-10-20 - 2013-10-26,82
2013-10-27 - 2013-11-02,80
