Week,gælder
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,75
2011-01-16 - 2011-01-22,74
2011-01-23 - 2011-01-29,74
2011-01-30 - 2011-02-05,74
2011-02-06 - 2011-02-12,74
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,66
2011-03-06 - 2011-03-12,69
2011-03-13 - 2011-03-19,65
2011-03-20 - 2011-03-26,60
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,60
2011-04-10 - 2011-04-16,60
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,61
2011-05-01 - 2011-05-07,61
2011-05-08 - 2011-05-14,68
2011-05-15 - 2011-05-21,69
2011-05-22 - 2011-05-28,73
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,64
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,0
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,63
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,69
2011-10-23 - 2011-10-29,72
2011-10-30 - 2011-11-05,76
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,68
2011-11-27 - 2011-12-03,69
2011-12-04 - 2011-12-10,69
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,57
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,59
2012-01-22 - 2012-01-28,77
2012-01-29 - 2012-02-04,62
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,72
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,72
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,64
2012-03-25 - 2012-03-31,55
2012-04-01 - 2012-04-07,52
2012-04-08 - 2012-04-14,52
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,72
2012-05-20 - 2012-05-26,66
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,86
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,72
2012-07-01 - 2012-07-07,74
2012-07-08 - 2012-07-14,76
2012-07-15 - 2012-07-21,75
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,64
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,64
2012-08-19 - 2012-08-25,68
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,77
2012-09-09 - 2012-09-15,62
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,54
2012-10-21 - 2012-10-27,77
2012-10-28 - 2012-11-03,61
2012-11-04 - 2012-11-10,51
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,57
2012-11-25 - 2012-12-01,64
2012-12-02 - 2012-12-08,66
2012-12-09 - 2012-12-15,62
2012-12-16 - 2012-12-22,65
2012-12-23 - 2012-12-29,63
2012-12-30 - 2013-01-05,63
2013-01-06 - 2013-01-12,62
2013-01-13 - 2013-01-19,63
2013-01-20 - 2013-01-26,61
2013-01-27 - 2013-02-02,52
2013-02-03 - 2013-02-09,58
2013-02-10 - 2013-02-16,65
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,66
2013-03-03 - 2013-03-09,61
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,61
2013-03-24 - 2013-03-30,61
2013-03-31 - 2013-04-06,67
2013-04-07 - 2013-04-13,58
2013-04-14 - 2013-04-20,55
2013-04-21 - 2013-04-27,66
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,60
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,70
2013-06-09 - 2013-06-15,78
2013-06-16 - 2013-06-22,67
2013-06-23 - 2013-06-29,69
2013-06-30 - 2013-07-06,69
