Web Search interest: gang
Denmark Jan 2011 - Feb 2016

Interest over time
Week,gang
2013-03-10 - 2013-03-16,70
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,73
2013-03-31 - 2013-04-06,72
2013-04-07 - 2013-04-13,76
2013-04-14 - 2013-04-20,78
2013-04-21 - 2013-04-27,75
2013-04-28 - 2013-05-04,81
2013-05-05 - 2013-05-11,78
2013-05-12 - 2013-05-18,76
2013-05-19 - 2013-05-25,81
2013-05-26 - 2013-06-01,77
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,70
2013-06-16 - 2013-06-22,68
2013-06-23 - 2013-06-29,72
2013-06-30 - 2013-07-06,65
2013-07-07 - 2013-07-13,70
2013-07-14 - 2013-07-20,78
2013-07-21 - 2013-07-27,74
2013-07-28 - 2013-08-03,75
2013-08-04 - 2013-08-10,73
2013-08-11 - 2013-08-17,72
2013-08-18 - 2013-08-24,76
2013-08-25 - 2013-08-31,72
2013-09-01 - 2013-09-07,75
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,78
2013-09-29 - 2013-10-05,86
2013-10-06 - 2013-10-12,88
2013-10-13 - 2013-10-19,95
2013-10-20 - 2013-10-26,100
2013-10-27 - 2013-11-02,91
2013-11-03 - 2013-11-09,92
2013-11-10 - 2013-11-16,89
2013-11-17 - 2013-11-23,91
2013-11-24 - 2013-11-30,79
2013-12-01 - 2013-12-07,95
2013-12-08 - 2013-12-14,94
2013-12-15 - 2013-12-21,90
2013-12-22 - 2013-12-28,86
2013-12-29 - 2014-01-04,86
2014-01-05 - 2014-01-11,91
2014-01-12 - 2014-01-18,82
2014-01-19 - 2014-01-25,83
2014-01-26 - 2014-02-01,74
2014-02-02 - 2014-02-08,73
2014-02-09 - 2014-02-15,78
2014-02-16 - 2014-02-22,86
2014-02-23 - 2014-03-01,82
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,80
2014-03-23 - 2014-03-29,82
2014-03-30 - 2014-04-05,86
2014-04-06 - 2014-04-12,83
2014-04-13 - 2014-04-19,82
2014-04-20 - 2014-04-26,87
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,88
2014-05-18 - 2014-05-24,90
2014-05-25 - 2014-05-31,86
2014-06-01 - 2014-06-07,83
2014-06-08 - 2014-06-14,79
2014-06-15 - 2014-06-21,85
2014-06-22 - 2014-06-28,74
2014-06-29 - 2014-07-05,82
2014-07-06 - 2014-07-12,80
2014-07-13 - 2014-07-19,77
2014-07-20 - 2014-07-26,87
2014-07-27 - 2014-08-02,84
2014-08-03 - 2014-08-09,81
2014-08-10 - 2014-08-16,75
2014-08-17 - 2014-08-23,80
2014-08-24 - 2014-08-30,79
2014-08-31 - 2014-09-06,92
2014-09-07 - 2014-09-13,87
2014-09-14 - 2014-09-20,78
2014-09-21 - 2014-09-27,79
2014-09-28 - 2014-10-04,74
2014-10-05 - 2014-10-11,80
2014-10-12 - 2014-10-18,94
2014-10-19 - 2014-10-25,92
2014-10-26 - 2014-11-01,85
2014-11-02 - 2014-11-08,88
2014-11-09 - 2014-11-15,81
2014-11-16 - 2014-11-22,79
2014-11-23 - 2014-11-29,81
2014-11-30 - 2014-12-06,95
2014-12-07 - 2014-12-13,83
2014-12-14 - 2014-12-20,88
2014-12-21 - 2014-12-27,86
2014-12-28 - 2015-01-03,81
2015-01-04 - 2015-01-10,84
2015-01-11 - 2015-01-17,82
2015-01-18 - 2015-01-24,81
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,84
2015-02-08 - 2015-02-14,77
2015-02-15 - 2015-02-21,71
2015-02-22 - 2015-02-28,77
2015-03-01 - 2015-03-07,82
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,87
2015-03-22 - 2015-03-28,75
2015-03-29 - 2015-04-04,91
2015-04-05 - 2015-04-11,78
2015-04-12 - 2015-04-18,81
2015-04-19 - 2015-04-25,78
2015-04-26 - 2015-05-02,78
2015-05-03 - 2015-05-09,76
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,87
2015-05-24 - 2015-05-30,81
2015-05-31 - 2015-06-06,79
2015-06-07 - 2015-06-13,90
2015-06-14 - 2015-06-20,74
2015-06-21 - 2015-06-27,75
2015-06-28 - 2015-07-04,81
2015-07-05 - 2015-07-11,82
2015-07-12 - 2015-07-18,76
2015-07-19 - 2015-07-25,83
2015-07-26 - 2015-08-01,79
2015-08-02 - 2015-08-08,77
2015-08-09 - 2015-08-15,80
2015-08-16 - 2015-08-22,76
2015-08-23 - 2015-08-29,78
2015-08-30 - 2015-09-05,77
2015-09-06 - 2015-09-12,80
2015-09-13 - 2015-09-19,77
2015-09-20 - 2015-09-26,82
2015-09-27 - 2015-10-03,87
2015-10-04 - 2015-10-10,77
2015-10-11 - 2015-10-17,77
2015-10-18 - 2015-10-24,82
2015-10-25 - 2015-10-31,81
2015-11-01 - 2015-11-07,79
2015-11-08 - 2015-11-14,77
2015-11-15 - 2015-11-21,80
2015-11-22 - 2015-11-28,72
2015-11-29 - 2015-12-05,87
2015-12-06 - 2015-12-12,83
2015-12-13 - 2015-12-19,86
2015-12-20 - 2015-12-26,90
2015-12-27 - 2016-01-02,95
2016-01-03 - 2016-01-09,90
2016-01-10 - 2016-01-16,97
2016-01-17 - 2016-01-23,88
2016-01-24 - 2016-01-30,90
2016-01-31 - 2016-02-06,83
2016-02-07 - 2016-02-13,88
2016-02-14 - 2016-02-20,80
2016-02-21 - 2016-02-27,82
2016-02-28 - 2016-03-05,88


Top subregions for gang
Subregion,gang
Region Zealand,100
Capital Region of Denmark,98
North Denmark Region,97
Syddanmark,97
Central Denmark Region,95


Top cities for gang
City,gang
Taastrup,100
Greve Strand,99
Frederikshavn,88
Juelsminde,84
Odder,84
Ringsted,83
Rodovre,83
Thisted,82
Haderslev,81
Hjorring,80
Helsingor,79
Kastrup,79
Nykobing Falster,79
Skanderborg,77
Hasselager,76



Top searches for gang
i gang,100
første gang,85
en gang,60
den gang,25
i gang med,20
hver gang,15
den første gang,10
kom i gang,10
sidste gang,10
bloodhound gang,5
i gang igang,5
igang,5
gang i danmark,5
verdens gang,5
engang en gang,5
fødsel i gang,5
min første gang,5
livets gang,5
taylor gang,5
gravid første gang,0
en gang imellem,0
gang i maven,0
gang beasts,0
endnu en gang,0
nemid første gang,0
ingen gang,0
gå i gang,0
gang starr,0
wolf gang,0
gravid anden gang,0
årets gang,0
en gang strømer,0
dan turell,0
the bloodhound gang,0
gridiron gang,0
tredje gang,0
gang related,0
rich gang,0
chain gang,0
gang wars,0



Rising searches for gang
taylor gang,Breakout
gang i maven,+120%
i gang igang,+50%
i gang med,+50%
en gang,+40%
en gang imellem,+40%
gravid første gang,+40%
igang,+40%
kom i gang,+40%



