Web Search interest: meningitis
Denmark Jan 2011 - Feb 2016

Interest over time
Week,meningitis
2011-01-02 - 2011-01-08,24
2011-01-09 - 2011-01-15,29
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,20
2011-01-30 - 2011-02-05,20
2011-02-06 - 2011-02-12,24
2011-02-13 - 2011-02-19,69
2011-02-20 - 2011-02-26,27
2011-02-27 - 2011-03-05,24
2011-03-06 - 2011-03-12,25
2011-03-13 - 2011-03-19,21
2011-03-20 - 2011-03-26,20
2011-03-27 - 2011-04-02,20
2011-04-03 - 2011-04-09,19
2011-04-10 - 2011-04-16,20
2011-04-17 - 2011-04-23,22
2011-04-24 - 2011-04-30,23
2011-05-01 - 2011-05-07,24
2011-05-08 - 2011-05-14,21
2011-05-15 - 2011-05-21,21
2011-05-22 - 2011-05-28,18
2011-05-29 - 2011-06-04,20
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,19
2011-06-19 - 2011-06-25,20
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,0
2011-08-14 - 2011-08-20,0
2011-08-21 - 2011-08-27,0
2011-08-28 - 2011-09-03,0
2011-09-04 - 2011-09-10,22
2011-09-11 - 2011-09-17,20
2011-09-18 - 2011-09-24,20
2011-09-25 - 2011-10-01,22
2011-10-02 - 2011-10-08,23
2011-10-09 - 2011-10-15,25
2011-10-16 - 2011-10-22,74
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,19
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,27
2011-12-11 - 2011-12-17,19
2011-12-18 - 2011-12-24,24
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,21
2012-01-08 - 2012-01-14,17
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,20
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,21
2012-03-04 - 2012-03-10,17
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,18
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,25
2012-04-08 - 2012-04-14,25
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,42
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,17
2012-05-20 - 2012-05-26,21
2012-05-27 - 2012-06-02,20
2012-06-03 - 2012-06-09,18
2012-06-10 - 2012-06-16,21
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,30
2012-07-08 - 2012-07-14,22
2012-07-15 - 2012-07-21,20
2012-07-22 - 2012-07-28,20
2012-07-29 - 2012-08-04,31
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,17
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,18
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,17
2012-09-30 - 2012-10-06,30
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,21
2012-10-28 - 2012-11-03,25
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,28
2012-11-18 - 2012-11-24,18
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,16
2012-12-09 - 2012-12-15,19
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,22
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,19
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,21
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,24
2013-04-28 - 2013-05-04,18
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,18
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,20
2013-06-09 - 2013-06-15,14
2013-06-16 - 2013-06-22,14
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,54
2013-07-28 - 2013-08-03,83
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,29
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,17
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,17
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,18
2014-02-09 - 2014-02-15,17
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,28
2014-03-02 - 2014-03-08,28
2014-03-09 - 2014-03-15,19
2014-03-16 - 2014-03-22,21
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,15
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,15
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,21
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,15
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,16
2014-09-14 - 2014-09-20,18
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,17
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,18
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,23
