Web Search interest: vaccination
Denmark Jan 2011 - Feb 2016

Interest over time
Week,vaccination
2011-01-02 - 2011-01-08,100
2011-01-09 - 2011-01-15,91
2011-01-16 - 2011-01-22,84
2011-01-23 - 2011-01-29,81
2011-01-30 - 2011-02-05,62
2011-02-06 - 2011-02-12,70
2011-02-13 - 2011-02-19,66
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,65
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,82
2011-05-01 - 2011-05-07,55
2011-05-08 - 2011-05-14,57
2011-05-15 - 2011-05-21,50
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,52
2011-06-05 - 2011-06-11,63
2011-06-12 - 2011-06-18,77
2011-06-19 - 2011-06-25,71
2011-06-26 - 2011-07-02,74
2011-07-03 - 2011-07-09,64
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,67
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,79
2011-10-02 - 2011-10-08,78
2011-10-09 - 2011-10-15,87
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,80
2011-10-30 - 2011-11-05,69
2011-11-06 - 2011-11-12,75
2011-11-13 - 2011-11-19,83
2011-11-20 - 2011-11-26,76
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,62
2011-12-11 - 2011-12-17,60
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,55
2012-01-01 - 2012-01-07,76
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,56
2012-02-12 - 2012-02-18,54
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,63
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,56
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,44
2012-05-06 - 2012-05-12,49
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,59
2012-05-27 - 2012-06-02,61
2012-06-03 - 2012-06-09,68
2012-06-10 - 2012-06-16,69
2012-06-17 - 2012-06-23,63
