Week,mellem
2011-01-02 - 2011-01-08,57
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,62
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,66
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,74
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,65
2011-03-27 - 2011-04-02,71
2011-04-03 - 2011-04-09,76
2011-04-10 - 2011-04-16,68
2011-04-17 - 2011-04-23,56
2011-04-24 - 2011-04-30,71
2011-05-01 - 2011-05-07,70
2011-05-08 - 2011-05-14,67
2011-05-15 - 2011-05-21,65
2011-05-22 - 2011-05-28,63
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,70
2011-06-12 - 2011-06-18,72
2011-06-19 - 2011-06-25,54
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,46
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,66
2011-09-25 - 2011-10-01,64
2011-10-02 - 2011-10-08,72
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,71
2011-11-06 - 2011-11-12,69
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,63
2011-12-04 - 2011-12-10,71
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,57
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,66
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,65
2012-01-29 - 2012-02-04,69
2012-02-05 - 2012-02-11,70
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,64
2012-02-26 - 2012-03-03,64
2012-03-04 - 2012-03-10,67
2012-03-11 - 2012-03-17,68
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,62
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,69
2012-04-22 - 2012-04-28,68
2012-04-29 - 2012-05-05,74
