Week,effekten
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,26
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,0
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,0
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,0
2011-08-14 - 2011-08-20,0
2011-08-21 - 2011-08-27,0
2011-08-28 - 2011-09-03,0
2011-09-04 - 2011-09-10,0
2011-09-11 - 2011-09-17,0
2011-09-18 - 2011-09-24,25
2011-09-25 - 2011-10-01,24
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,24
2011-10-16 - 2011-10-22,24
2011-10-23 - 2011-10-29,24
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,24
2011-11-13 - 2011-11-19,24
2011-11-20 - 2011-11-26,26
2011-11-27 - 2011-12-03,27
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,0
2011-12-25 - 2011-12-31,0
2012-01-01 - 2012-01-07,0
2012-01-08 - 2012-01-14,0
2012-01-15 - 2012-01-21,0
2012-01-22 - 2012-01-28,0
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,24
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,24
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,25
2012-03-18 - 2012-03-24,24
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,25
2012-04-22 - 2012-04-28,0
2012-04-29 - 2012-05-05,0
2012-05-06 - 2012-05-12,0
2012-05-13 - 2012-05-19,0
2012-05-20 - 2012-05-26,0
2012-05-27 - 2012-06-02,30
2012-06-03 - 2012-06-09,27
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,24
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,0
2012-07-08 - 2012-07-14,0
2012-07-15 - 2012-07-21,0
2012-07-22 - 2012-07-28,0
2012-07-29 - 2012-08-04,0
2012-08-05 - 2012-08-11,0
2012-08-12 - 2012-08-18,0
2012-08-19 - 2012-08-25,0
2012-08-26 - 2012-09-01,0
2012-09-02 - 2012-09-08,0
2012-09-09 - 2012-09-15,24
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,22
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,21
2012-10-14 - 2012-10-20,19
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,37
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,100
2012-12-09 - 2012-12-15,99
2012-12-16 - 2012-12-22,69
2012-12-23 - 2012-12-29,36
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,29
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,20
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,34
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,20
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,22
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,25
2013-06-02 - 2013-06-08,26
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,23
2013-06-23 - 2013-06-29,0
2013-06-30 - 2013-07-06,0
2013-07-07 - 2013-07-13,0
2013-07-14 - 2013-07-20,0
2013-07-21 - 2013-07-27,0
2013-07-28 - 2013-08-03,0
2013-08-04 - 2013-08-10,0
2013-08-11 - 2013-08-17,0
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,18
2013-09-08 - 2013-09-14,20
2013-09-15 - 2013-09-21,23
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,23
2013-10-13 - 2013-10-19,17
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,21
2013-11-24 - 2013-11-30,22
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,30
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,20
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,18
